Tag ID,RSSI,Phase,Frequency,Antenna No.,Created At
2020 43CB 43A1 E38A 543D 29B5, -67, 6.037748381117884, 920.4, 1, 2022/12/19 19:31:45
2020 43CB 43A1 E38A 543D 29B5, -66, 5.3627968344482015, 920.4, 4, 2022/12/19 19:31:46
2020 43CB 43A2 198A 543D 2A8D, -52.5, 5.3198453723874035, 920.4, 1, 2022/12/19 19:31:45
2020 43CB 43A2 198A 543D 2A8D, -54.5, 0.4111068511533518, 920.4, 4, 2022/12/19 19:31:46
2020 43CB 43A1 E78A 543D 29C5, -58, 5.64504929941916, 920.4, 1, 2022/12/19 19:31:45
2020 43CB 43A1 E78A 543D 29C5, -61, 1.7119225592803755, 920.4, 6, 2022/12/19 19:31:46
E200 470F 45D0 6023 A129 010E, -63.5, 2.82252464970958, 920.4, 1, 2022/12/19 19:31:45
E200 470F 45D0 6023 A129 010E, -55, 1.0246991663076084, 920.4, 4, 2022/12/19 19:31:46
2200 43CB 43A1 E98A 543D 29CD, -68.5, 5.2339424482658075, 920.4, 1, 2022/12/19 19:31:45
9990 1912 9990 9990 9990 0137, -66, 2.791845033951867, 920.4, 6, 2022/12/19 19:31:48
5538 0000 4180 0400 0034 000B, -70, 4.485359823777615, 920.4, 6, 2022/12/19 19:31:48
9990 1912 9990 9990 9990 0125, -59, 0.7731263170943632, 920.4, 6, 2022/12/19 19:31:48
2020 43CB 43A1 E78A 543D 29C5, -61.5, 1.6505633277649499, 920.4, 6, 2022/12/19 19:31:48
9990 1912 9990 9990 9990 0131, -59.5, 0.3374757733348411, 920.4, 6, 2022/12/19 19:31:48
2200 43CB 43A1 DF8A 543D 29A5, -60, 4.025165587411922, 920.4, 4, 2022/12/19 19:31:47
5598 0000 4004 0004 000C 0001, -56.5, 5.21553467881118, 920.4, 4, 2022/12/19 19:31:48
2200 4444 A450 6014 04E6 3731, -57.5, 0.17794177139473438, 920.4, 4, 2022/12/19 19:31:48
2200 4444 A450 6014 04E6 3731, -62.5, 3.2397674240144743, 920.4, 6, 2022/12/19 19:31:48
5538 0000 4180 0400 0034 0007, -66, 3.2090878082567613, 920.4, 4, 2022/12/19 19:31:48
2200 0000 42C4 0644 0010 0001, -59, 1.8530487917658545, 920.4, 4, 2022/12/19 19:31:48
2020 43CB 43A1 E38A 543D 29B5, -65, 5.5284667595398505, 920.4, 4, 2022/12/19 19:31:48
2200 4444 B4D0 6014 04E6 3739, -63.5, 5.092816215780329, 920.4, 4, 2022/12/19 19:31:48
2200 43CB 43A1 E48A 543D 29B9, -65.5, 1.1719613219446299, 920.4, 1, 2022/12/19 19:31:47
2020 0000 4000 0000 0000 0012, -67, 0.5154175447295755, 920.4, 1, 2022/12/19 19:31:47
E200 4710 6990 6026 B9C9 0110, -64, 0.4295146206079795, 920.4, 1, 2022/12/19 19:31:47
2200 43CB 43A1 E98A 543D 29CD, -70, 5.270757987175063, 920.4, 1, 2022/12/19 19:31:47
2020 43CB 43A2 198A 543D 2A8D, -52.5, 5.375068680751287, 920.4, 1, 2022/12/19 19:31:47
2020 43CB 43A2 198A 543D 2A8D, -54.5, 0.4049709280018093, 920.4, 4, 2022/12/19 19:31:48
2200 43CB 43A1 CD8A 543D 295D, -62, 2.399145952253143, 920.4, 1, 2022/12/19 19:31:47
2020 43CB 43A1 E88A 543D 29C9, -60.5, 5.0253210611133605, 920.4, 1, 2022/12/19 19:31:47
2020 43CB 43A1 E88A 543D 29C9, -61, 0.03681553890925539, 920.4, 4, 2022/12/19 19:31:48
E200 470F 45D0 6023 A129 010E, -61, 2.7120780329818137, 920.4, 1, 2022/12/19 19:31:47
E200 470F 45D0 6023 A129 010E, -54.5, 0.6258641614573416, 920.4, 4, 2022/12/19 19:31:48
2020 0000 4000 0000 0000 0012, -68.5, 6.025476534814799, 920.4, 6, 2022/12/19 19:31:50
5538 0000 4180 0400 0034 000B, -70, 4.608078286808466, 920.4, 6, 2022/12/19 19:31:50
9990 1912 9990 9990 9990 0137, -66, 2.9820586516496865, 920.4, 6, 2022/12/19 19:31:50
9990 1912 9990 9990 9990 0131, -58, 0.3436116964863836, 920.4, 6, 2022/12/19 19:31:50
2200 0000 1000 0000 0000 000B, -61.5, 4.663301595172349, 920.4, 6, 2022/12/19 19:31:50
E200 4710 6990 6026 B9C9 0110, -64, 5.810719224510809, 920.4, 4, 2022/12/19 19:31:49
2200 4444 B4D0 6014 04E6 3739, -63.5, 1.705786636128833, 920.4, 4, 2022/12/19 19:31:49
2200 43CB 43A1 DF8A 543D 29A5, -58.5, 3.9576704327449543, 920.4, 4, 2022/12/19 19:31:49
5538 0000 4180 0400 0034 0007, -65, 6.1420590746941075, 920.4, 4, 2022/12/19 19:31:50
9990 1912 9990 9990 9990 0113, -64, 5.706408530934585, 920.4, 4, 2022/12/19 19:31:49
9990 1912 9990 9990 9990 0107, -57.5, 6.215690152512618, 920.4, 4, 2022/12/19 19:31:49
2020 43CB 43A1 E38A 543D 29B5, -65, 5.921165841238575, 920.4, 4, 2022/12/19 19:31:49
2200 0000 42C4 0644 0010 0001, -58, 2.030990563160589, 920.4, 4, 2022/12/19 19:31:49
5598 0000 4004 0004 000C 0001, -57, 5.283029833478148, 920.4, 4, 2022/12/19 19:31:49
2200 4444 A450 6014 04E6 3731, -58, 0.5276893910326605, 920.4, 4, 2022/12/19 19:31:49
2200 4444 A450 6014 04E6 3731, -61.5, 3.215223731408304, 920.4, 6, 2022/12/19 19:31:50
7B49, -72.5, 4.264466590322082, 920.4, 1, 2022/12/19 19:31:49
7B49, -71.5, 0.8651651643675016, 920.4, 4, 2022/12/19 19:31:50
2200 43CB 43A1 E48A 543D 29B9, -66, 1.3989904785517047, 920.4, 1, 2022/12/19 19:31:49
2020 43CB 43A2 198A 543D 2A8D, -53, 5.405748296509, 920.4, 1, 2022/12/19 19:31:49
2020 43CB 43A2 198A 543D 2A8D, -54.5, 0.47860200582032003, 920.4, 4, 2022/12/19 19:31:49
2020 43CB 43A1 E88A 543D 29C9, -60, 5.086680292628786, 920.4, 1, 2022/12/19 19:31:49
2020 43CB 43A1 E88A 543D 29C9, -60, 3.098641191528995, 920.4, 4, 2022/12/19 19:31:49
E200 470F 45D0 6023 A129 010E, -65.5, 4.289010282928253, 920.4, 1, 2022/12/19 19:31:49
E200 470F 45D0 6023 A129 010E, -59, 1.3314953238847365, 920.4, 4, 2022/12/19 19:31:49
2020 43CB 43A1 E78A 543D 29C5, -58.5, 5.688000761479957, 920.4, 1, 2022/12/19 19:31:49
2020 43CB 43A1 E78A 543D 29C5, -71, 3.9944859716542096, 920.4, 4, 2022/12/19 19:31:49
2020 43CB 43A1 E78A 543D 29C5, -61.5, 1.6382914814618648, 920.4, 6, 2022/12/19 19:31:50
2200 43CB 43A1 CD8A 543D 295D, -61.5, 2.350058567040802, 920.4, 1, 2022/12/19 19:31:49
5538 0000 4180 0400 0034 000B, -71, 4.558990901596125, 920.4, 6, 2022/12/19 19:31:52
9990 1912 9990 9990 9990 0131, -59, 0.3865631585471816, 920.4, 6, 2022/12/19 19:31:52
2200 0000 1000 0000 0000 000B, -60, 4.651029748869264, 920.4, 6, 2022/12/19 19:31:52
9990 1912 9990 9990 9990 0137, -66, 2.834796496012665, 920.4, 6, 2022/12/19 19:31:52
7B49, -71.5, 0.7915340865489908, 920.4, 4, 2022/12/19 19:31:52
9990 1912 9990 9990 9990 0107, -59, 6.215690152512618, 920.4, 4, 2022/12/19 19:31:52
2020 43CB 43A1 E38A 543D 29B5, -64.5, 5.546874528994478, 920.4, 4, 2022/12/19 19:31:51
5598 0000 4004 0004 000C 0001, -56, 5.184855063053467, 920.4, 4, 2022/12/19 19:31:51
2200 43CB 43A1 DF8A 543D 29A5, -58, 4.031301510563465, 920.4, 4, 2022/12/19 19:31:51
9990 1912 9990 9990 9990 0113, -66, 5.9088939949354895, 920.4, 4, 2022/12/19 19:31:52
5538 0000 4180 0400 0034 0007, -65, 3.141592653589793, 920.4, 4, 2022/12/19 19:31:51
2200 0000 42C4 0644 0010 0001, -57.5, 2.018718716857504, 920.4, 4, 2022/12/19 19:31:51
2200 4444 A450 6014 04E6 3731, -57.5, 0.5276893910326605, 920.4, 4, 2022/12/19 19:31:51
2200 4444 A450 6014 04E6 3731, -61.5, 3.141592653589793, 920.4, 6, 2022/12/19 19:31:52
2200 4444 B4D0 6014 04E6 3739, -63.5, 1.9634954084936207, 920.4, 4, 2022/12/19 19:31:51
2020 43CB 43A1 E88A 543D 29C9, -61.5, 5.105088062083414, 920.4, 1, 2022/12/19 19:31:51
2020 43CB 43A1 E88A 543D 29C9, -60, 3.098641191528995, 920.4, 4, 2022/12/19 19:31:51
2200 43CB 43A1 E98A 543D 29CD, -70.5, 5.246214294568893, 920.4, 1, 2022/12/19 19:31:51
2200 43CB 43A1 CD8A 543D 295D, -62, 2.227340104009951, 920.4, 1, 2022/12/19 19:31:51
2020 0000 4000 0000 0000 0012, -63.5, 4.2092432819582, 920.4, 1, 2022/12/19 19:31:51
2200 43CB 43A1 E48A 543D 29B9, -66, 1.3008157081270237, 920.4, 1, 2022/12/19 19:31:51
2020 43CB 43A1 E78A 543D 29C5, -58.5, 5.767767762450011, 920.4, 1, 2022/12/19 19:31:51
