Tag ID,RSSI,Phase,Frequency,Antenna No.,Created At
9990 1912 9990 9990 9990 0107, -55, 1.0185632431560658, 920.4, 4, 2022/12/19 18:19:31
2200 4444 B4D0 6014 04E6 3739, -64, 2.423689644859313, 920.4, 4, 2022/12/19 18:19:31
5538 0000 4180 0400 0034 0007, -67, 5.019185137961818, 920.4, 4, 2022/12/19 18:19:31
7B49, -67.5, 0, 920.4, 4, 2022/12/19 18:19:31
9990 1912 9990 9990 9990 0113, -58, 5.945709533844745, 920.4, 4, 2022/12/19 18:19:31
2200 4444 A450 6014 04E6 3731, -57, 5.835262917116979, 920.4, 4, 2022/12/19 18:19:31
2200 4444 A450 6014 04E6 3731, -60.5, 2.718213956133356, 920.4, 6, 2022/12/19 18:19:31
2200 0004 A7E0 6014 04E6 376A, -66, 4.06811704947272, 920.4, 4, 2022/12/19 18:19:31
E200 4710 6990 6026 B9C9 0110, -61.5, 0.2945243112740431, 920.4, 1, 2022/12/19 18:19:30
2020 0000 4000 0000 0000 0012, -62, 2.3746022596469727, 920.4, 1, 2022/12/19 18:19:30
5538 0000 4180 0400 0034 000B, -72, 0.05522330836388308, 920.4, 1, 2022/12/19 18:19:30
5538 0000 4180 0400 0034 000B, -66, 3.761320891895592, 920.4, 4, 2022/12/19 18:19:31
2020 43CB 43A1 E38A 543D 29B5, -66.5, 6.056156150572511, 920.4, 1, 2022/12/19 18:19:30
2200 43CB 43A1 E48A 543D 29B9, -69.5, 0.018407769454627694, 920.4, 1, 2022/12/19 18:19:30
2020 43CB 43A1 E78A 543D 29C5, -56.5, 5.485515297479052, 920.4, 1, 2022/12/19 18:19:30
2020 43CB 43A1 E78A 543D 29C5, -66.5, 6.258641614573416, 920.4, 4, 2022/12/19 18:19:31
2020 43CB 43A1 E78A 543D 29C5, -62.5, 1.6873788666742053, 920.4, 6, 2022/12/19 18:19:31
2200 43CB 43A1 CD8A 543D 295D, -55.5, 2.110757564130642, 920.4, 1, 2022/12/19 18:19:30
2200 43CB 43A1 CD8A 543D 295D, -68, 4.080388895775806, 920.4, 4, 2022/12/19 18:19:31
2200 43CB 43A1 D68A 543D 2981, -62, 5.8659425328746915, 920.4, 1, 2022/12/19 18:19:30
2200 43CB 43A1 D68A 543D 2981, -71.5, 2.2457478734645786, 920.4, 4, 2022/12/19 18:19:31
E200 470F 45D0 6023 A129 010E, -56, 4.509903516383785, 920.4, 1, 2022/12/19 18:19:30
E200 470F 45D0 6023 A129 010E, -58.5, 4.804427827657828, 920.4, 4, 2022/12/19 18:19:31
E200 470F 45D0 6023 A129 010E, -59.5, 4.448544284868359, 920.4, 6, 2022/12/19 18:19:31
5598 0000 4004 0004 000C 0001, -54, 5.289165756629691, 920.4, 1, 2022/12/19 18:19:30
2020 43CB 43A2 198A 543D 2A8D, -51.5, 4.878058905476339, 920.4, 1, 2022/12/19 18:19:30
2020 43CB 43A2 198A 543D 2A8D, -58.5, 6.166602767300278, 920.4, 4, 2022/12/19 18:19:31
2200 43CB 43A1 E98A 543D 29CD, -66, 3.5833791205008576, 920.4, 1, 2022/12/19 18:19:30
2200 43CB 43A1 DF8A 543D 29A5, -64, 0.8467573949128739, 920.4, 1, 2022/12/19 18:19:30
2200 43CB 43A1 DF8A 543D 29A5, -59.5, 4.154019973594316, 920.4, 4, 2022/12/19 18:19:31
9990 1912 9990 9990 9990 0125, -58.5, 1.3130875544301088, 920.4, 6, 2022/12/19 18:19:33
5538 0000 4180 0400 0034 0007, -68, 1.8653206380689396, 920.4, 4, 2022/12/19 18:19:33
